run	front_frac	avg_front_gain	avg_front_pain
UWMDSqlec2t25	1.000	38.111	188.844
UWMDSqlec4t50	1.000	36.422	186.755
rg3	1.000	31.644	154.800
EXTERNAL	1.000	23.556	98.156
uogTrNMM	1.000	18.933	96.178
cluster1	1.000	16.822	44.623
run1	1.000	16.333	26.067
run2	1.000	16.067	25.445
TuneExternal2	1.000	11.933	23.911
cluster3	1.000	9.556	15.200
cluster5	1.000	6.222	8.400
CosineEgrep	1.000	0.556	7.667
rg4	0.400	31.444	158.945
Baseline	0.200	24.000	116.889
