run	front_frac	avg_front_gain	avg_front_pain
UWMDSqlec2t25	1.000	28.028	115.500
rg3	1.000	23.806	85.611
run1	1.000	14.347	19.167
run2	1.000	14.194	18.875
cluster1	0.750	16.482	42.259
cluster5	0.750	6.778	9.778
EXTERNAL	0.625	22.889	96.733
cluster3	0.625	9.667	16.311
UWMDSqlec4t50	0.500	25.528	110.083
BasePred	0.500	21.250	101.972
TuneExternal2	0.375	12.333	25.889
uogTrNMM	0.250	19.111	98.222
cluster2	0.250	13.222	25.834
Baseline	0.125	21.778	98.222
