run	front_frac	avg_front_gain	avg_front_pain
UWMDSqlec2t25	1.000	35.958	171.403
rg3	1.000	30.097	137.028
cluster1	1.000	16.875	44.416
run1	1.000	16.542	25.695
run2	1.000	16.319	25.167
cluster3	1.000	9.653	16.180
cluster5	1.000	6.750	9.722
EXTERNAL	0.875	24.635	107.412
BasePred	0.875	21.635	107.460
TuneExternal2	0.875	12.095	25.032
UWMDSqlec4t50	0.750	36.092	185.760
uogTrNMM	0.750	19.055	98.222
Baseline	0.375	20.852	82.852
rg4	0.250	25.777	95.166
