run	front_frac	avg_front_gain	avg_front_pain
.UWMDSqlec2t25	1.000	18.645	47.955
.rg3	1.000	15.467	30.733
.run1	1.000	11.111	10.467
.UWMDSqlec4t50	0.600	14.593	37.111
.cluster1	0.600	13.889	28.704
.run2	0.600	12.000	12.778
.rg1	0.400	18.611	51.833
.cluster2	0.400	12.055	22.445
.cluster5	0.400	6.500	9.444
.rg4	0.200	23.333	71.889
.EXTERNAL	0.200	19.667	60.222
.Baseline	0.200	17.889	53.889
.TuneExternal2	0.200	10.667	19.889
.cluster3	0.200	9.556	15.111
