run	front_frac	avg_front_gain	avg_front_pain
SNACSA	1.000	12.326	27.814
PKUICSTRunA2	1.000	8.438	17.354
SNACS_LA	1.000	7.581	10.484
IRIT-KLTFIDF	1.000	5.581	5.194
UWaterlooATDK	1.000	3.027	4.568
prnaTaskA3	1.000	2.700	4.367
umd_hcil_run01	1.000	0.000	0.000
UWaterlooATEK	0.400	3.559	5.095
