run	front_frac	avg_front_gain	avg_front_pain
SNACSA	1.000	10.260	22.287
PKUICSTRunA2	1.000	7.868	16.255
udelRun1A	1.000	5.226	11.240
SNACS_LA	1.000	4.529	6.181
UWaterlooATEK	1.000	3.669	5.208
IRIT-KLTFIDF	1.000	3.355	3.551
prnaTaskA2	1.000	2.292	3.456
prnaTaskA3	1.000	1.728	2.834
umd_hcil_run01	1.000	0.000	0.000
CLIP-A-DYN-0.5	0.875	11.098	46.543
UWaterlooATNDEK	0.125	3.706	5.510
UWaterlooATDK	0.125	2.549	3.510
