run	front_frac	avg_front_gain	avg_front_pain
SNACSA	1.000	9.688	18.535
PKUICSTRunA2	1.000	6.783	13.413
SNACS_LA	1.000	5.503	7.232
IRIT-KLTFIDF	1.000	4.290	5.168
prnaTaskA3	1.000	2.427	4.127
umd_hcil_run01	1.000	0.000	0.000
UWaterlooATDK	0.800	3.669	4.986
UWaterlooATEK	0.600	3.857	5.254
UWaterlooATNDEK	0.400	4.147	6.114
prnaTaskA2	0.200	2.633	4.400
