run	front_frac	avg_front_gain	avg_front_pain
CLIP-A-DYN-0.5	1.000	10.922	46.961
SNACSA	1.000	10.392	23.451
PKUICSTRunA2	1.000	7.941	16.333
udelRun1A	1.000	5.137	10.510
SNACS_LA	1.000	4.608	6.373
IRIT-KLTFIDF	1.000	3.392	3.157
prnaTaskA2	1.000	2.118	3.118
prnaTaskA3	1.000	1.588	2.569
umd_hcil_run01	1.000	0.000	0.000
UWaterlooATNDEK	0.200	3.451	5.588
