run	front_frac	avg_front_gain	avg_front_pain
SNACSA	1.000	9.931	21.306
PKUICSTRunA2	1.000	7.787	15.806
udelRun1A	1.000	5.103	11.071
SNACS_LA	1.000	4.316	5.838
UWaterlooATEK	1.000	3.642	5.135
IRIT-KLTFIDF	1.000	3.299	3.510
prnaTaskA2	1.000	2.228	3.412
prnaTaskA3	1.000	1.681	2.797
umd_hcil_run01	1.000	0.000	0.000
CLIP-A-DYN-0.5	0.750	11.127	47.003
UWaterlooATNDEK	0.250	3.755	5.569
UWaterlooATDK	0.125	2.490	3.255
