KW30H5NW300	TS14.21	17.000	6.000
KW30H5NW300	TS14.22	2.000	23.000
KW30H5NW300	TS14.23	10.000	15.000
KW30H5NW300	TS14.24	12.000	16.000
KW30H5NW300	TS14.25	5.000	21.000
KW30H5NW300	AVG	9.333	16.400
KW30H5NW3600	TS14.11	11.000	22.000
KW30H5NW3600	TS14.12	11.000	35.000
KW30H5NW3600	TS14.13	6.000	22.000
KW30H5NW3600	TS14.14	5.000	1.000
KW30H5NW3600	TS14.15	8.000	15.000
KW30H5NW3600	TS14.16	9.000	2.000
KW30H5NW3600	TS14.17	8.000	3.000
KW30H5NW3600	TS14.18	10.000	35.000
KW30H5NW3600	TS14.19	17.000	14.000
KW30H5NW3600	TS14.20	9.000	16.000
KW30H5NW3600	TS14.21	17.000	6.000
KW30H5NW3600	TS14.22	2.000	23.000
KW30H5NW3600	TS14.23	10.000	15.000
KW30H5NW3600	TS14.24	12.000	16.000
KW30H5NW3600	TS14.25	5.000	21.000
KW30H5NW3600	AVG	9.333	16.400
KW80H10NW300	TS14.11	12.000	17.000
KW80H10NW300	TS14.12	11.000	35.000
KW80H10NW300	TS14.13	6.000	23.000
KW80H10NW300	TS14.14	5.000	2.000
KW80H10NW300	TS14.15	9.000	14.000
KW80H10NW300	TS14.16	9.000	2.000
KW80H10NW300	TS14.17	13.000	1.000
KW80H10NW300	TS14.18	12.000	34.000
KW80H10NW300	TS14.19	17.000	15.000
KW80H10NW300	TS14.20	8.000	14.000
KW80H10NW300	TS14.21	14.000	5.000
KW80H10NW300	TS14.22	2.000	25.000
KW80H10NW300	TS14.23	10.000	17.000
KW80H10NW300	TS14.24	13.000	12.000
KW80H10NW300	TS14.25	9.000	19.000
KW80H10NW300	AVG	10.000	15.667
KW80H5NW300	TS14.11	12.000	19.000
KW80H5NW300	TS14.12	11.000	36.000
KW80H5NW300	TS14.13	6.000	22.000
KW80H5NW300	TS14.14	5.000	2.000
KW80H5NW300	TS14.15	9.000	14.000
KW80H5NW300	TS14.16	9.000	2.000
KW80H5NW300	TS14.17	9.000	2.000
KW80H5NW300	TS14.18	12.000	34.000
KW80H5NW300	TS14.19	17.000	15.000
