run	front_frac	avg_front_gain	avg_front_pain
Cluster1	1.000	4.000	6.373
Q0	0.800	22.216	19.683
Q1	0.800	20.067	16.600
run3	0.800	4.467	12.983
run2	0.600	4.222	11.356
uogTr4A	0.200	29.200	60.467
uogTr4AC	0.200	27.400	48.400
Cluster3	0.200	7.800	22.533
Cluster4	0.200	3.733	3.533
