run	front_frac	avg_front_gain	avg_front_pain
Q0	0.875	26.247	27.114
uogTr4A	0.750	31.456	70.644
uogTr4AC	0.625	30.760	58.613
Cluster1	0.625	5.214	10.213
uogTr2A	0.500	30.284	59.350
run3	0.375	4.956	15.089
Q1	0.250	19.700	16.300
Cluster2	0.250	3.933	4.667
Cluster3	0.125	8.667	24.867
run2	0.125	4.333	10.067
