run	front_frac	avg_front_gain	avg_front_pain
uogTr4A	1.000	32.850	76.084
uogTr4AC	1.000	30.950	59.041
Q0	1.000	28.258	30.466
uogTr2A	0.875	30.333	59.324
Cluster1	0.250	8.834	24.600
Cluster3	0.250	8.267	23.533
