run	front_frac	avg_front_gain	avg_front_pain
UDInfoDFP-47	1.000	2.230	19.051
UDInfoSPP-48	1.000	1.525	14.770
nudt_sna-29	1.000	1.225	11.578
run2-32	1.000	0.953	7.051
run1-31	1.000	0.868	6.488
WaterlooBaseline-50	1.000	0.694	5.924
run3-13	1.000	0.643	0.853
QUExpT-39	1.000	0.214	0.714
run1-11	1.000	0.161	0.286
run2-12	1.000	0.071	0.214
udelRunBM25-43	1.000	0.000	0.000
Hamid-20	0.625	1.679	19.464
