run	front_frac	avg_front_gain	avg_front_pain
UDInfoDFP-47	1.000	2.087	16.716
UDInfoSPP-48	1.000	1.473	13.080
nudt_sna-29	1.000	1.170	10.466
run2-32	1.000	0.917	6.471
run1-31	1.000	0.826	5.971
run3-13	1.000	0.627	0.826
QUExpT-39	1.000	0.209	0.698
run1-11	1.000	0.161	0.284
run2-12	1.000	0.071	0.212
udelRunBM25-43	1.000	0.000	0.000
WaterlooBaseline-50	0.875	0.691	5.849
Hamid-20	0.125	1.679	19.464
udelRunTFIDF-44	0.125	0.732	4.446
