run	front_frac	avg_front_gain	avg_front_pain
UDInfoDFP-47	1.000	2.147	17.616
UDInfoSPP-48	1.000	1.498	13.806
nudt_sna-29	1.000	1.203	10.844
run2-32	1.000	0.940	6.710
run1-31	1.000	0.857	6.158
WaterlooBaseline-50	1.000	0.685	5.678
run3-13	1.000	0.629	0.841
run1-11	1.000	0.161	0.284
run2-12	1.000	0.071	0.214
udelRunBM25-43	1.000	0.000	0.000
QUExpT-39	0.875	0.214	0.714
Hamid-20	0.375	1.679	19.464
