run	front_frac	avg_front_gain	avg_front_pain
Hamid-20	1.000	1.661	19.214
UDInfoSFP-46	1.000	1.207	8.950
UDInfoDFP-47	1.000	1.146	8.443
run2-32	1.000	0.929	7.018
run3-13	1.000	0.571	0.696
QUExpT-39	1.000	0.161	0.446
run1-11	1.000	0.107	0.196
run2-12	1.000	0.036	0.125
udelRunBM25-43	1.000	0.000	0.000
run1-31	0.800	0.821	6.411
UDInfoSPP-48	0.800	0.799	5.919
WaterlooBaseline-50	0.600	0.643	5.768
nudt_sna-29	0.200	1.196	11.393
